Order_ID,Order_Date,Customer_ID,Product,Category,Quantity,Sales,Profit,Region,Payment_Mode
ORD00004,2023-01-02,C188,Tablet,Electronics,3,64865.84,9598.61,Mumbai,Cash
ORD00005,2023-01-03,C021,Monitor,Electronics,4,60927.51,11166.95,Nagpur,Credit Card
ORD00006,2023-01-04,C242,Keyboard,Accessories,1,2678.86,654.06,Pune,UPI
ORD00007,2023-01-04,C264,Smartphone,Electronics,1,29966.1,5877.99,Mumbai,UPI
ORD00008,2023-01-05,C002,Keyboard,Accessories,2,4983.88,960.04,Pune,Cash
ORD00009,2023-01-05,C215,Headphones,Accessories,1,3941.75,374.64,Amravati,UPI
ORD00010,2023-01-06,C237,Headphones,Accessories,4,15097.6,3375.38,Pune,Net Banking
ORD00011,2023-01-07,C157,Printer,Office,2,25738.77,3266.76,Nashik,UPI
ORD00012,2023-01-07,C129,Laptop,Electronics,3,181559.44,27593.09,Amravati,Debit Card
ORD00013,2023-01-08,C231,Tablet,Electronics,1,25176.37,4607.61,Pune,UPI
ORD00014,2023-01-08,C268,Keyboard,Accessories,3,8424.64,1891.39,Pune,UPI
ORD00015,2023-01-09,C214,Printer,Office,3,34977.36,7136.54,Mumbai,Debit Card
ORD00016,2023-01-10,C131,Laptop,Electronics,3,159111.65,15963.83,Nagpur,Net Banking
ORD00017,2023-01-10,C015,Smartphone,Electronics,3,95735.39,16166.32,Pune,Credit Card
ORD00018,2023-01-11,C231,Keyboard,Accessories,1,3001.98,343.1,Nagpur,Cash
ORD00019,2023-01-11,C143,Mouse,Accessories,4,4804.02,877.94,Mumbai,Net Banking
ORD00020,2023-01-12,C187,Keyboard,Accessories,1,2760.7,256.98,Mumbai,Cash
ORD00021,2023-01-13,C028,Smartphone,Electronics,2,66680.58,15213.06,Amravati,Cash
ORD00022,2023-01-13,C128,Keyboard,Accessories,2,5839.72,1344.06,Pune,Cash
ORD00023,2023-01-14,C121,Laptop,Electronics,3,172794.81,32849.56,Amravati,Net Banking
ORD00024,2023-01-14,C137,Laptop,Electronics,3,183018.11,14857.75,Nashik,UPI
ORD00025,2023-01-15,C096,Tablet,Electronics,2,48793.96,6584.48,Nagpur,Cash
ORD00026,2023-01-16,C052,Laptop,Electronics,2,116201.49,28492.95,Amravati,Credit Card
ORD00027,2023-01-16,C126,Tablet,Electronics,1,22729.8,3151.76,Pune,Net Banking
ORD00028,2023-01-17,C247,Keyboard,Accessories,2,5321.17,1317.31,Amravati,Debit Card
ORD00029,2023-01-18,C098,Printer,Office,3,40834.21,6531.48,Mumbai,UPI
ORD00030,2023-01-18,C259,Laptop,Electronics,4,224221.79,37309.11,Amravati,Cash
ORD00031,2023-01-19,C199,Tablet,Electronics,4,94468.42,11194.91,Amravati,UPI
ORD00032,2023-01-19,C129,Laptop,Electronics,4,229187.62,33402.95,Mumbai,Cash
ORD00033,2023-01-20,C263,Laptop,Electronics,1,60017.67,11900.5,Amravati,Credit Card
