Customer_ID,Recency,Frequency,Monetary,Cluster,Customer_Segment
C001,1,10,691034.88,2,High-Value Customers
C002,572,6,651482.98,0,Regular Customers
C003,608,3,166015.32,1,At-Risk Customers
C004,358,11,396706.69,2,High-Value Customers
C005,450,8,555868.97,0,Regular Customers
C006,318,3,169446.61,3,Occasional Customers
C007,407,6,170493.85,3,Occasional Customers
C008,355,7,597100.85,0,Regular Customers
C009,444,2,112032.18,3,Occasional Customers
C010,493,8,284892.98,0,Regular Customers
C011,360,5,204546.05,3,Occasional Customers
C012,335,9,796512.62,2,High-Value Customers
C013,269,10,393593.88,2,High-Value Customers
C014,315,4,312689.25,3,Occasional Customers
C015,264,5,271383.6,3,Occasional Customers
C016,668,6,90894.62,1,At-Risk Customers
C017,567,4,351096.23000000004,1,At-Risk Customers
C018,270,2,138207.37,3,Occasional Customers
C019,284,3,89406.42,3,Occasional Customers
C020,385,2,51186.49,3,Occasional Customers
C021,373,8,571474.46,0,Regular Customers
C022,645,6,150814.46000000002,1,At-Risk Customers
C023,581,5,238231.25,1,At-Risk Customers
C024,351,5,321935.49,3,Occasional Customers
C025,491,7,301890.74,0,Regular Customers
C026,383,7,366275.67,0,Regular Customers
C027,326,4,140997.51,3,Occasional Customers
C028,796,5,225395.29,1,At-Risk Customers
C030,533,3,210366.94,3,Occasional Customers
C031,340,3,552054.7,0,Regular Customers
C032,292,8,869504.21,2,High-Value Customers
C033,538,1,7856.94,1,At-Risk Customers
C034,369,5,446664.34,0,Regular Customers
C035,320,8,525805.4,0,Regular Customers
C036,357,2,69899.2,3,Occasional Customers
C037,791,1,4469.43,1,At-Risk Customers
C038,359,6,408414.76,0,Regular Customers
C039,288,8,622213.7,2,High-Value Customers
C040,1003,1,49597.99,1,At-Risk Customers
C041,1028,3,251949.96999999997,1,At-Risk Customers
C042,630,7,527551.3,0,Regular Customers
C043,277,5,272997.7,3,Occasional Customers
C044,333,7,599686.19,0,Regular Customers
C045,662,3,337478.26999999996,1,At-Risk Customers
