Month,Sales
2023-01-01,3107124.96
2023-02-01,2005997.25
2023-03-01,3061066.55
2023-04-01,2359689.95
2023-05-01,3159002.64
2023-06-01,2606247.24
2023-07-01,2129481.85
2023-08-01,2094674.76
2023-09-01,2406181.59
2023-10-01,2314362.14
2023-11-01,2613736.33
2023-12-01,2661848.06
2024-01-01,3865617.69
2024-02-01,3626871.99
2024-03-01,2503330.6
2024-04-01,3099965.56
2024-05-01,3555313.08
2024-06-01,2788760.35
2024-07-01,3035000.6
2024-08-01,2869631.77
2024-09-01,2373884.89
2024-10-01,2777547.7800000003
2024-11-01,3324603.94
2024-12-01,3732501.25
2025-01-01,2631446.95
2025-02-01,4300881.74
2025-03-01,4409197.88
2025-04-01,3790214.19
2025-05-01,3208556.87
2025-06-01,2628953.43
2025-07-01,3703068.02
2025-08-01,3410090.9499999997
2025-09-01,2701825.98
2025-10-01,3147165.6
2025-11-01,3998021.15
2025-12-01,3631156.01
2026-09-01,200.0
